"path","git_status","category","rationale","touch_policy","approval_status","recommended_next_action"
"test/unit/agent/tools/friday-agent-tool-registry.test.ts","M","phase3_wip","Tool registry tests reflect available tool gating.","Only touch in agent registry test subphase after hunk explanation.","not_approved_for_phase3_0","Review with registry changes."
"test/unit/api/http/routes/friday-skill-converter-routes.test.ts","M","phase3_wip","Skill converter route tests reflect import and convert semantics.","Only touch in API route test subphase after hunk explanation.","not_approved_for_phase3_0","Must align with preview-only convert and candidate-only import."
"test/unit/api/runtime/friday-deep-link-apply-service.test.ts","M","phase3_wip","Deeplink tests reflect candidate-only apply behavior.","Only touch in deeplink test subphase after hunk explanation.","not_approved_for_phase3_0","Review with deeplink service changes."
"test/unit/autonomy/friday-channel-adapter-upgrade-lifecycle-service.test.ts","M","phase3_wip","Channel lifecycle unit tests reflect validation proof behavior.","Only touch in channel lifecycle test subphase after hunk explanation.","not_approved_for_phase3_0","Review with lifecycle service changes."
"test/unit/autonomy/friday-controlled-autonomy-services.test.ts","M","phase3_wip","Controlled autonomy tests reflect lifecycle proof and gate behavior.","Only touch in autonomy test subphase after hunk explanation.","not_approved_for_phase3_0","Review with runtime actions."
"test/unit/autonomy/friday-mcp-server-upgrade-lifecycle-service.test.ts","M","phase3_wip","MCP lifecycle unit tests reflect external MCP validation truth.","Only touch in MCP test subphase after hunk explanation.","not_approved_for_phase3_0","Review with MCP lifecycle changes."
"test/unit/autonomy/friday-plugin-upgrade-lifecycle-service.test.ts","M","phase3_wip","Plugin lifecycle unit tests reflect trust and proof behavior.","Only touch in plugin test subphase after hunk explanation.","not_approved_for_phase3_0","Review with plugin lifecycle changes."
"test/unit/autonomy/friday-provider-profile-upgrade-lifecycle-service.test.ts","M","phase3_wip","Provider lifecycle tests reflect validation proof behavior.","Only touch in provider test subphase after hunk explanation.","not_approved_for_phase3_0","Review with provider lifecycle changes."
"test/unit/autonomy/friday-skill-upgrade-lifecycle-service.test.ts","M","phase3_wip","Skill lifecycle tests reflect shadow canary promote behavior.","Only touch in skill lifecycle test subphase after hunk explanation.","not_approved_for_phase3_0","Review with skill lifecycle implementation."
"test/unit/autonomy/friday-workflow-upgrade-lifecycle-service.test.ts","M","phase3_wip","Workflow lifecycle tests reflect validation proof behavior.","Only touch in workflow test subphase after hunk explanation.","not_approved_for_phase3_0","Review with workflow lifecycle changes."
"test/unit/observability/services/friday-observability-api-service.test.ts","M","protected_user_or_historical","Previously identified protected dirty observability test work.","Do not touch or stage unless user reclassifies a hunk.","blocked","Leave untouched during Phase 3.0."
"test/unit/operator-client/friday-operator-client.test.ts","M","protected_user_or_historical","Previously identified protected dirty operator client test work.","Do not touch or stage unless user reclassifies a hunk.","blocked","Leave untouched during Phase 3.0."
"test/unit/plugins/services/friday-plugin-service.test.ts","M","phase3_wip","Plugin service tests reflect trust and lifecycle canary behavior.","Only touch in plugin test subphase after hunk explanation.","not_approved_for_phase3_0","Review with plugin service implementation."
"test/unit/providers/model/friday-runtime-capabilities.test.ts","M","phase3_wip","Runtime capability tests reflect verified provider availability truth.","Only touch in provider truth test subphase after hunk explanation.","not_approved_for_phase3_0","Review with capability matrix changes."
"test/unit/providers/services/friday-provider-service.test.ts","M","phase3_wip","Provider service tests reflect validation and availability behavior.","Only touch in provider service test subphase after hunk explanation.","not_approved_for_phase3_0","Review with provider service changes."
"test/unit/skills/converter/friday-skill-converter-service.test.ts","M","pending_review_hunk","Contains unauthorized candidate lifecycle test edit retained only as pending review WIP.","Do not expand stage or accept until hunks are reviewed under later approved subphase.","pending_review","Revisit when external skill converter subphase starts."
"test/unit/ui/ui-truth-regressions.test.ts","M","phase3_wip","UI truth regression tests appear tied to false success or availability messaging.","Only touch in UI truth test subphase after hunk explanation.","not_approved_for_phase3_0","Review with UI changes."
"ui/src/components/core/skill-import-wizard.tsx","M","phase3_wip","Skill import UI is part of candidate-only external import experience.","Only touch in UI entrypoint subphase after hunk explanation.","not_approved_for_phase3_0","Review with API import semantics."
"ui/src/components/core/skill-scanner-panel.tsx","M","phase3_wip","Skill scanner UI is part of preview or staged candidate experience.","Only touch in UI entrypoint subphase after hunk explanation.","not_approved_for_phase3_0","Review with scan migrate route."
"ui/src/components/deeplink/deeplink-preview-dialog.tsx","M","phase3_wip","Deeplink UI reflects apply pending or candidate-created state.","Only touch in deeplink UI subphase after hunk explanation.","not_approved_for_phase3_0","Review with deeplink service."
"ui/src/lib/api/scan-migrate.ts","M","phase3_wip","UI API client for scan migrate is part of entrypoint parity.","Only touch in UI client subphase after hunk explanation.","not_approved_for_phase3_0","Review with route contract."
"ui/src/routes/setup-page.tsx","M","phase3_wip","Setup page changes may reflect provider or availability truth.","Only touch in setup UI subphase after hunk explanation.","not_approved_for_phase3_0","Review with setup tests."
"docs/audit/friday-lego-closure-audit-2026-05-04/00_audit_ledger.csv","??","audit_artifact","Existing untracked audit evidence generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/00_inventory.csv","??","audit_artifact","Existing untracked audit inventory generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/00_scope.md","??","audit_artifact","Existing untracked audit scope generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/01_inventory.csv","??","audit_artifact","Existing untracked audit inventory generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/02_mechanism_map.md","??","audit_artifact","Existing untracked audit mechanism map generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/03_route_and_runtime_closure.md","??","audit_artifact","Existing untracked audit route closure report generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/04_approval_policy_closure.md","??","audit_artifact","Existing untracked audit approval report generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/05_external_capability_lifecycle.md","??","audit_artifact","Existing untracked audit external lifecycle report used as Phase 3 evidence.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/06_memory_skills_workflow_learning.md","??","audit_artifact","Existing untracked audit memory skills workflow report generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/07_system_runtime_default_on_readiness.md","??","audit_artifact","Existing untracked audit system runtime report generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/08_test_truth_and_release_proof.md","??","audit_artifact","Existing untracked audit release proof report generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/09_findings_register.csv","??","audit_artifact","Existing untracked audit findings register used as repair basis.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/10_recommendations.md","??","audit_artifact","Existing untracked audit recommendations generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/11_entrypoint_closure_matrix.csv","??","audit_artifact","Existing untracked entrypoint matrix generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/11_entrypoint_closure_matrix.md","??","audit_artifact","Existing untracked entrypoint matrix summary generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/12_dependency_matrix.csv","??","audit_artifact","Existing untracked dependency matrix generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/12_dependency_matrix.md","??","audit_artifact","Existing untracked dependency matrix summary generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/13_repair_ready_master_ledger.csv","??","audit_artifact","Existing untracked repair-ready ledger generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/13_repair_ready_master_ledger.md","??","audit_artifact","Existing untracked repair-ready ledger summary generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/14_decision_gates.csv","??","audit_artifact","Existing untracked decision gates generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/14_decision_gates.md","??","audit_artifact","Existing untracked decision gates summary generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/15_phase3_execution_protocol.md","tracked_clean","phase3_protocol","Approved Phase 3.0 execution protocol output already committed before this ledger update.","Do not stage as part of Phase 3.1 unless it becomes dirty again.","committed","Use as protocol reference."
"docs/audit/friday-lego-closure-audit-2026-05-04/15_regression_tests_map.csv","??","audit_artifact","Existing untracked regression tests map generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/15_regression_tests_map.md","??","audit_artifact","Existing untracked regression tests map summary generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/16_inventory_scope_delta.csv","??","audit_artifact","Existing untracked scope inventory delta generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/16_phase3_wip_ledger.md","M","phase3_protocol","Committed Phase 3.0 human-readable WIP ledger output currently dirty for Phase 3.1 ledger reconciliation.","Only stage ledger reconciliation hunks after verification and reviewer pass.","pending_phase3_1_review","Include only ledger reconciliation hunks after Phase 3.1 reviewer pass."
"docs/audit/friday-lego-closure-audit-2026-05-04/16_phase3_wip_ledger.csv","M","phase3_protocol","Committed Phase 3.0 machine-readable WIP ledger output currently dirty for Phase 3.1 ledger reconciliation.","Only stage ledger reconciliation hunks after verification and reviewer pass.","pending_phase3_1_review","Include only ledger reconciliation hunks after Phase 3.1 reviewer pass."
"docs/audit/friday-lego-closure-audit-2026-05-04/16_scope_inventory_reconciliation.md","??","audit_artifact","Existing untracked scope inventory reconciliation generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"docs/audit/friday-lego-closure-audit-2026-05-04/friday_full_merged_audit.csv","??","audit_artifact","Existing untracked full merged audit generated before Phase 3.0.","Do not modify or stage with Phase 3 implementation unless separately approved.","preserve","Keep as audit evidence input."
"src/skills/converter/services/friday-skill-candidate-store.ts","??","phase3_wip","Untracked candidate store source appears central to external skill candidate lifecycle.","Only touch in external skill converter subphase after hunk explanation.","not_approved_for_phase3_0","Review after Phase 3.0 commit."
"src/skills/converter/services/friday-skill-staging-approval.ts","??","phase3_wip","Untracked canonical approval helper appears central to external skill candidate staging gate.","Only touch in external skill converter approval subphase after hunk explanation.","not_approved_for_phase3_0","Review with skill import and deeplink canonical gate wiring."
"test/integration/hub/friday-ui-api-route-closure.integration.test.ts","??","protected_user_or_historical","Previously identified protected untracked UI API route closure test.","Do not touch or stage unless user reclassifies a hunk.","blocked","Leave untouched during Phase 3.0."
"test/unit/agent/tools/friday-agent-skill-import-tool.test.ts","??","phase3_wip","Untracked agent import tool test appears tied to candidate-only import behavior.","Only touch in agent import test subphase after hunk explanation.","not_approved_for_phase3_0","Review with agent import tool changes."
"test/unit/api/http/routes/friday-autonomy-routes.test.ts","??","phase3_wip","Untracked autonomy route test appears tied to lifecycle proof route behavior.","Only touch in API autonomy test subphase after hunk explanation.","not_approved_for_phase3_0","Review with autonomy routes."
"test/unit/api/http/routes/friday-scan-migrate-routes.test.ts","??","phase3_wip","Untracked scan migrate route test appears tied to entrypoint parity behavior.","Only touch in scan migrate test subphase after hunk explanation.","not_approved_for_phase3_0","Review with scan migrate route."
"test/contracts/api/friday-api-route-contract.snapshot.test.ts","M","phase3_wip","API route contract snapshot reflects converter/deeplink route shape and must stay aligned with real routes.","Only touch in API contract subphase after hunk explanation.","not_approved_for_phase3_0","Review with route contract regeneration or targeted snapshot diff."
"test/contracts/api/friday-converter-format-parity.contract.test.ts","M","phase3_wip","Converter format parity contract reflects candidate-only import response shape.","Only touch in converter contract subphase after hunk explanation.","not_approved_for_phase3_0","Review with converter API response semantics."
"test/e2e/api/friday-api-skills-routes.test.ts","M","phase3_wip","Skills API E2E reflects not_installed run blocking and import availability truth.","Only touch in API E2E subphase after hunk explanation.","not_approved_for_phase3_0","Review with skill route runtime gate."
"test/unit/api/http/routes/friday-skill-routes.test.ts","M","phase3_wip","Skill route unit tests reflect not_installed run blocking.","Only touch in skill route test subphase after hunk explanation.","not_approved_for_phase3_0","Review with skill route gate."
"ui/src/lib/api/skills.ts","M","phase3_wip","UI skill API client reflects candidate-only import response and future canonical approval UX.","Only touch in UI API client subphase after hunk explanation.","not_approved_for_phase3_0","Review with skill import UI and fail-closed behavior."
"ui/src/lib/api/types.ts","M","phase3_wip","UI API types reflect skill converter candidate response and lifecycle status states.","Only touch in UI type subphase after hunk explanation.","not_approved_for_phase3_0","Review with API model contract."
