row_id,canonical_fix_id,resolution_mode,target_wave,required_evidence,release_relevance
ISSUE-00167,ISSUE-00167,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00168,ISSUE-00168,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00169,ISSUE-00169,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00170,ISSUE-00170,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00171,ISSUE-00171,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00172,ISSUE-00172,code_change,phase4-design-density,source+live+state,no
ISSUE-00173,ISSUE-00173,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
ISSUE-00174,ISSUE-00174,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00175,ISSUE-00175,regression_guard,phase5-regression-guards,>=2_of_3_prefer_3,no
ISSUE-00176,ISSUE-00176,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00177,ISSUE-00181,merge_only,phase6-duplicate-regression,source+live+state,no
ISSUE-00178,ISSUE-00178,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00179,ISSUE-00179,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00180,ISSUE-00180,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00181,ISSUE-00181,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00182,ISSUE-00182,code_change,phase4-design-density,source+live+state,no
ISSUE-00183,ISSUE-00183,code_change,phase3e-learning-observability-family,source+live+state,yes
ISSUE-00184,ISSUE-00184,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
ISSUE-00185,ISSUE-00185,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00186,ISSUE-00186,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00187,ISSUE-00187,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00188,ISSUE-00188,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00189,ISSUE-00189,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00190,ISSUE-00190,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00191,ISSUE-00191,code_change,phase4-design-density,source+live+state,no
ISSUE-00192,ISSUE-00192,code_change,phase4-design-density,source+live+state,no
ISSUE-00193,ISSUE-00193,code_change,phase3d-api-security-family,source+live+state,yes
ISSUE-00194,ISSUE-00194,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00195,ISSUE-00195,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00196,ISSUE-00196,code_change,phase4-design-density,source+live+state,no
ISSUE-00197,ISSUE-00197,code_change,phase4-design-density,source+live+state,no
ISSUE-00198,ISSUE-00198,code_change,phase4-design-density,source+live+state,no
ISSUE-00199,ISSUE-00199,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00200,ISSUE-00200,code_change,phase3c-agent-provider-family,source+live+state,yes
ISSUE-00201,ISSUE-00201,code_change,phase4-design-density,source+live+state,no
ISSUE-00202,ISSUE-00202,code_change,phase4-design-density,source+live+state,no
ISSUE-00203,ISSUE-00203,code_change,phase4-design-density,source+live+state,no
ISSUE-00204,ISSUE-00204,code_change,phase4-design-density,source+live+state,no
ISSUE-00205,ISSUE-00205,code_change,phase3a-workflow-family,source+live+state,yes
ISSUE-00206,ISSUE-00206,code_change,phase4-design-density,>=2_of_3_prefer_3,no
ISSUE-00207,ISSUE-00207,code_change,phase4-design-density,>=2_of_3_prefer_3,no
CAND-20260418-001,CAND-20260418-001,code_change,phase3b-memory-ledger-family,source+live+state,yes
CAND-20260418-002,CAND-20260418-002,code_change,phase3c-agent-provider-family,source+live+state,yes
CAND-20260419-003,CAND-20260419-003,code_change,phase3z-p1-other,source+live+state,yes
CAND-20260419-004,CAND-20260419-004,code_change,phase3b-memory-ledger-family,source+live+state,yes
CAND-20260419-005,CAND-20260419-005,code_change,phase3z-p1-other,source+live+state,yes
CAND-20260419-006,CAND-20260419-006,code_change,phase4-design-density,>=2_of_3_prefer_3,no
CAND-20260419-007,CAND-20260419-007,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
CAND-20260419-008,CAND-20260419-008,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
CAND-20260419-009,CAND-20260419-009,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
CAND-20260419-010,CAND-20260419-010,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
CAND-20260419-011,CAND-20260419-011,code_change,phase4-design-density,>=2_of_3_prefer_3,no
CAND-20260419-012,CAND-20260419-012,code_change,phase2-release-blockers,source+live+state,main-runtime-open-blocker
