canonical_fix_id,row_id,origin,subsystem,severity_final,final_verdict,resolution_mode,target_wave,release_relevance,status,notes
ISSUE-00011,ISSUE-00011,existing,channels/persona,P3,confirmed_exact,code_change,phase4-design-density,no,queued,"Current route still only accepts persona/systemPrompt, and live PUT with displayName/tone/systemPrompt silently persisted only systemPrompt with empty persona."
ISSUE-00012,ISSUE-00012,existing,observability/audit,P2,partially_confirmed_scope_limited,code_change,phase4-design-density,no,queued,"The original ""observability audit is globally empty"" statement no longer reproduces on current code. /v1/observability/overview now reports audit.totalEntries=8272 and /v1/observability/audit returns many items. A narrower agent-run audit gap remains: after real Anthropic run 4c67478f-ec41-416c-ac74-1dd654c19e4e, audit_logs stayed at 0 in SQLite, /v1/observability/audit?action=agent.run.completed returned items=[], and /v1/observability/audit?module=agent returned items=[]. Current observability service search is backed by in-memory audit.query() rather than audit_logs, and current source has appendAudit() writers for observability and learning paths but none on agent.run events."
ISSUE-00013,ISSUE-00013,existing,mcp,P2,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"The MCP JSON-RPC route is still conditionally mounted, but it is no longer universally dark across all current audit runtimes. Source still defines exactly one POST /v1/mcp route and friday-api-runtime still only registers it when deps.mcpServer is present; the capability gate still requires FRIDAY_MCP_SERVER_ENABLED === ""true"". Live probes now show the main audit worktree runtime still returns 404 NOT_FOUND for initialize/tools/list, while the isolated runtime launched from the repo root returns 401 UNAUTHORIZED for the same requests because the repo-root .env enables FRIDAY_MCP_SERVER_ENABLED=true. The corrected current statement is that Friday-as-MCP-server remains dark in the default main runtime context, but becomes reachable (auth-gated) when the MCP server capability gate is explicitly enabled via the startup environment."
ISSUE-00014,ISSUE-00014,existing,cli/help,P3,confirmed_exact,code_change,phase4-design-density,no,queued,"Root CLI help still omits the auth command family. parseArgs still accepts auth as a first-class command, printUsage(command===""auth"") still prints the five auth subcommands, and cmdAuth still dispatches login/setup-token/paste-token/attach-cli/status; but friday --help still shows no auth entry at all. The live root help remained 66 lines without auth, while friday auth --help printed the separate 7-line auth family usage."
ISSUE-00015,ISSUE-00015,existing,agent/runs,P1,not_reproducible_current_code,regression_guard,phase5-regression-guards,yes,verified_targeted_tests,"Targeted runtime regression coverage now closes the trivial-fact drift lane: both default routing and an explicit Anthropic pin answer a new-topic ""What is the capital of France?"" prompt in English with 0 tool calls even when the prior conversation topic was a complex sourdough task."
ISSUE-00016,ISSUE-00016,existing,providers,P2,not_reproducible_current_code,regression_guard,phase5-regression-guards,no,queued,"The old create-path env-ref failure no longer reproduces on current code. Source still resolves env-ref input through resolveKeySourceInput/resolveRawApiKeyAsync into the same validation path used during provider creation, and fresh main-runtime POST /v1/providers with `apiKey: ""env:FRIDAY_ANTHROPIC_API_KEY""` for a second Anthropic HTTP provider succeeded 200, persisted keySource.kind=env-ref/envVar=FRIDAY_ANTHROPIC_API_KEY, and returned config.validation.status=ok. The created probe provider 0658ad23-f37b-4c8e-bdc7-612948a6d061 was then deleted successfully, and the provider list returned to the two baseline Anthropic profiles after cleanup."
ISSUE-00017,ISSUE-00017,existing,providers/src-architecture,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"A fresh `npm run check:architecture-boundaries` still fails the provider-layer rule. Current output shows `src/providers/persistence/friday-provider-profile-repository.ts` escaping the providers boundary via `../../autonomy/model/friday-autonomy-upgrade.types.js`, which reproduces the original autonomy-coupling claim on current code."
ISSUE-00018,ISSUE-00018,existing,agent/blind-user/provider-tool,P0,not_reproducible_current_code,regression_guard,phase5-regression-guards,yes,verified_main_runtime,"Current source no longer reproduces the original blind-mutation defect. Unit coverage now blocks mutating provider actions for informational guidance prompts before approval flow, and a fresh isolated Anthropic rerun (run a39ea386-9eee-4948-9dac-197df545e402) showed provider.list followed by a policy-blocked provider.update attempt, with providerProfilesChanged=false and routingChanged=false. The model then returned step-by-step guidance and asked for explicit confirmation before any configuration change. Main-runtime provider inventory currently exposes only the auto-detected OpenAI provider, so the exact Anthropic lane is not available there."
ISSUE-00019,ISSUE-00019,existing,audit/coverage,P2,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"Inventory generation outran end-to-end phase closure; the hard completion bar is phase closure plus blocker rerun closure, not artifact existence."
ISSUE-00020,ISSUE-00020,existing,validation/real-world,P1,not_reproducible_current_code,regression_guard,phase5-regression-guards,yes,verified_targeted_tests,"Current runner auth path no longer reproduces the old harness failure. Source inspection shows the current local login helpers post {local:true} for localhost bypass flows, and targeted auth-service verification proves localhost local-bypass is accepted only when enabled while remote-IP bypass remains rejected. The legacy mint_local_admin wording does not map to a separate current code path."
ISSUE-00021,ISSUE-00021,existing,validation/real-world,P1,confirmed_but_statement_drifted,code_change,phase3z-p1-other,yes,verified_targeted_tests,"Closed via targeted profile/setup verification. `/v1/uix/user-profile` now falls back to `friday_setup_state.setup_completed_at` when `user.onboarded_at` is absent, so a setup-complete runtime no longer reports `needsSetup=false` together with `onboardedAt=null`. Targeted unit + setup-wizard coverage passed (2 files / 33 tests observed, no type errors)."
ISSUE-00022,ISSUE-00022,existing,api/observability,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"Current main-runtime POST/PUT/DELETE alert-rule mutation routes still return HTTP 500 with error.code=VALIDATION_ERROR when called with empty {}. Source shows the route performs inline validation but throws FridayDomainError without httpStatus, and FridayDomainError defaults to 500. Live evidence in phase3-v34 reproduced 500 VALIDATION_ERROR on create/update/delete exactly as originally reported. The DELETE route still requires an etag body despite operating on a path id."
ISSUE-00023,ISSUE-00023,existing,api/agent-loop,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"Current main-runtime PUT /v1/agent-loop/expert-mode with empty {} still returns HTTP 500 INTERNAL_ERROR exactly as originally reported, while GET before/after and SQLite state both show no policy change. Source shows the route always forwards every expert-mode field as an explicit property, so an empty body becomes an object full of undefined values. updateExpertMode spreads {...current, ...input}, and upsertPolicy then receives undefined for NOT NULL numeric columns probeBudget/timeBudgetMinutes, which causes the write path to fail before any state change is committed."
ISSUE-00024,ISSUE-00024,existing,api/workflow,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"Current main-runtime POST /v1/workflows/:workflowId/locks/acquire with empty {} still returns HTTP 500 INTERNAL_ERROR exactly as originally reported. Source shows the route forwards raw body fields and the collaboration service computes expiresAt from input.ttlSec without validation, so empty ttlSec drives an invalid Date path. This phase3-v34 batch also exposed a deeper structural defect now logged separately as CAND-20260419-010: a contract-shaped request against a nonexistent workflowId returns acquired=true and persists a lock row in hub_settings."
ISSUE-00025,ISSUE-00025,existing,api/marketplace,P3,confirmed_exact,code_change,phase4-design-density,no,queued,"Current main-runtime marketplace plugin detail, versions, and install endpoints still all return 503 with code=PLUGIN_DISCOVERY_FAILED while the response body message is masked to Internal Server Error. Source shows friday-plugin-service throws FridayDomainError(PLUGIN_DISCOVERY_FAILED, ..., httpStatus:503) whenever the marketplace client is not configured, and Friday HTTP error mapping masks 5xx messages. /v1/health in the same runtime reports marketplaceAvailable=false and pluginMarketplaceEnabled=false, matching the observed 503 lane."
ISSUE-00026,ISSUE-00026,existing,api/coverage,P1,confirmed_but_statement_drifted,code_change,phase2-release-blockers,main-runtime-open-blocker,verified_main_runtime,"The original dark-surface statement drifted, but the release blocker is now fixed. Main runtime now registers stable `/v1/packages`, `/v1/mcp`, and `/v1/channel-webhooks/*` surfaces even when those capabilities are absent; they return typed `501 CAPABILITY_DISABLED` responses instead of 404/503 drift. `/v1/health` now reports `packaging.enabled=false`, `mcp.enabled=false`, and `channels.webhookEndpoints.{line,whatsapp,lark}=false`, while live marketplace plugin search remains a real 200 empty surface backed by zero marketplace source rows rather than a fake capability claim."
ISSUE-00027,ISSUE-00027,existing,agent/subagent,P2,not_reproducible_current_code,regression_guard,phase5-regression-guards,no,queued,"The old subagent provider-routing contradiction does not reproduce on current code. Current live subagent e2e source provisions a real Anthropic provider and asserts consistent parent/subagent/child-run evidence instead of tolerating degrade-only success. A fresh Anthropic-backed main-runtime parent run using spawn_subagent wait=true completed successfully, the parent audit showed route_selected with requestedProviderId=actualProviderId on Anthropic before the spawn_subagent tool call, the subagent record and child run both completed cleanly, and the child run actualExecution also selected the same Anthropic provider/model with no degrade/fallback evidence."
ISSUE-00028,ISSUE-00028,existing,ui/routing/guards,P1,confirmed_but_statement_drifted,code_change,phase3z-p1-other,yes,verified_targeted_tests,"Closed via targeted setup/onboarding verification. The user-profile read path now reflects setup completion even when `user.onboarded_at` was never persisted, so SetupGate no longer sends a setup-complete authenticated browser session back to `/onboarding`; the setup-wizard browser rerun now lands on `/chat` instead."
ISSUE-00029,ISSUE-00029,existing,ui/routing,P2,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"Silent route rewriting still exists for the old advertised UI paths, but the mechanism and destinations drifted. Current router mounts the modern canonical pages under /command-center, /assistant, /packs/cross-border/setup, /flow/:wizardId, /skills/generator, and /workflows/builder; it also hard-gates /marketplace to /assistant and sends unknown paths through * -> / -> DefaultEntryRedirect. Real Playwright probes on the main runtime showed /agent, /assistant-inbox, /cross-border-pack-setup, /guided-flow, /setup, /skill-generator, and /workflow-builder all landing on /home, while /marketplace lands on /assistant, with no explicit not-found affordance. The original “page exists but router does not mount it” mechanism is no longer accurate because the pages are mounted under new canonical routes, but the user-facing silent redirect problem remains."
ISSUE-00030,ISSUE-00030,existing,ui/i18n,P3,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,workflow view-model titles are still hard-coded in English while surrounding route chrome is localized through locale-aware copy.
ISSUE-00031,ISSUE-00031,existing,skills,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"The catalog/list split is still exact. GET /v1/skills returns the registry inventory from skillRegistry.list(), while GET /v1/skills/catalog delegates to lifecycle.listCatalog(). On the live isolated runtime, /v1/skills returned 60 installed items, but /v1/skills/catalog still returned {items:[], total:0}. Catalog-backed views remain empty while the registry has real skills loaded."
ISSUE-00032,ISSUE-00032,existing,skills,P3,confirmed_exact,code_change,phase4-design-density,no,queued,"Conversation skills still fail at dispatch but are wrapped in a 200 OK API response. The skill run route always returns 200 with nested {status, completionDepth, stderr}, and the executor still emits stderr ""Skill ... is a conversation skill and cannot be run from the CLI"" with result.status=failed. A live POST /v1/skills/caption-subtitle-formatter/run returned ok:true with status=failed, completionDepth=dispatch-only, durationMs=0, and the conversation-skill stderr."
ISSUE-00033,ISSUE-00033,existing,mcp-server,P1,confirmed_exact,code_change,phase3z-p1-other,yes,verified_main_runtime,"Main runtime now exposes /v1/mcp as a stable disabled interface instead of a dark 404. Health reports mcp.enabled=false, unauthenticated requests get 401, and authenticated initialize returns 501 CAPABILITY_DISABLED with capability/surface details."
ISSUE-00034,ISSUE-00034,existing,mcp-server,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"Current API runtime still registers only the inbound JSON-RPC `createFridayMcpServerRoutes()` surface, and that route factory still exposes only `POST /v1/mcp`. `GET /v1/mcp/servers` on the main runtime returned 404 `No route matches GET /v1/mcp/servers`, so there is still no HTTP CRUD/list surface for configuring outbound MCP servers."
ISSUE-00035,ISSUE-00035,existing,daemon,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"The main runtime still has no daemon HTTP status route. `GET /v1/daemon/status` returned 404 `No route matches GET /v1/daemon/status`, while current source shows only daemon service wiring (`daemonStatusGetter`) and no registered `/v1/daemon/*` route definitions. CLI and HTTP daemon surfaces still diverge."
ISSUE-00036,ISSUE-00036,existing,jobs,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"There is still no public jobs API surface. Source search still finds no /v1/jobs route registration in src/api/http/routes or friday-api-runtime, and the fleet surface only exposes aggregate queue data via GET /v1/fleet/overview. A fresh live GET /v1/jobs on the isolated runtime returned 404 NOT_FOUND (No route matches GET /v1/jobs), so individual job list/create/cancel/inspect operations remain unavailable over HTTP."
ISSUE-00037,ISSUE-00037,existing,packaging,P2,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"The packaging routes are still optional, but they are no longer simply ""defined and never registered"" in current source. friday-api-runtime still conditionally registers createFridayPackagingRoutes only when deps.packaging is present, and hub bootstrap now builds packagingDeps when FRIDAY_PACKAGING_ENABLED === ""true"". Live probes show the main audit worktree runtime still returns 404 for GET/POST /v1/packages, while the isolated runtime launched from the repo root returns 401 UNAUTHORIZED for the same requests because the repo-root .env enables FRIDAY_PACKAGING_ENABLED=true. The corrected statement is that the packaging API remains dark in the default main runtime context, but the route becomes reachable (auth-gated) when packaging is explicitly enabled in startup env."
ISSUE-00038,ISSUE-00038,existing,deeplink,P3,confirmed_exact,code_change,phase4-design-density,no,queued,"Current deeplink parser still hard-limits resource types to provider-template, skill-source, mcp-server, workflow-template, and marketplace-asset, and the route surface still only exposes preview/apply with no resolve/schema discovery endpoint. Live preview still rejects natural friday://skills/run URIs with Unknown resource type: skills/run."
ISSUE-00163,ISSUE-00039,existing,tui,P2,duplicate_or_merged,merge_only,phase6-duplicate-regression,no,queued,"Merged into ISSUE-00163. Current source/live proof is the same root cause: `parseArgs.validCommands` still omits `tui`, the main switch still contains `case ""tui""`, and `friday tui`, `friday tui --help`, and root help are byte-identical (MD5 `ed129290f7aa859da977fe398633d2b3`)."
ISSUE-00040,ISSUE-00040,existing,errors/api,P1,confirmed_exact,code_change,phase3d-api-security-family,yes,verified_main_runtime,"FridayDomainError now derives default HTTP status from the canonical error-code map. Main-runtime rerun shows POST /v1/observability/alert-rules {name:min} returns 422 VALIDATION_ERROR with the authored message, and alert-rule count stays flat (2->2). Canonical merge rows ISSUE-00112 and ISSUE-00155 are covered by the same source/live/state rerun."
ISSUE-00041,ISSUE-00041,existing,agent-loop,P1,confirmed_but_statement_drifted,code_change,phase3c-agent-provider-family,yes,verified_main_runtime,"Verified after remediation against the same main-runtime expert-mode lane: invalid partial PUT now fails early with 400 VALIDATION_ERROR and leaves friday_agent_loop_policy unchanged, while valid partial PUT commits probeBudget/timeBudgetMinutes atomically and a revert call restores the initial policy. The old statement drifted because the current fix removed both prior failure modes: no more HTTP 500 on omitted fields and no more partial write before response failure."
ISSUE-00042,ISSUE-00042,existing,observability/alert-rules,P1,confirmed_but_statement_drifted,code_change,phase3a-workflow-family,yes,verified_main_runtime,"HTTP server now parses JSON bodies on DELETE requests, so alert-rule delete receives body.etag correctly. Main-runtime rerun shows valid create 200, DELETE /v1/observability/alert-rules/:id with matching etag 200, and alert-rule count returns to baseline (2->3->2)."
ISSUE-00043,ISSUE-00043,existing,channels/webhooks,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"Current main-runtime public POSTs to /v1/channel-webhooks/line, /whatsapp, and /lark still return 503 with codes LINE_LISTENER_INACTIVE / WHATSAPP_LISTENER_INACTIVE / LARK_LISTENER_INACTIVE but message Internal Server Error. Source still throws listener-inactive 503s with explicit human-readable messages in createFridayChannelWebhookRoutes(), while friday-http-error-mapper masks all 5xx messages to Internal Server Error. This preserves the operator-facing ambiguity described in the original finding."
ISSUE-00044,ISSUE-00044,existing,plugins/marketplace,P2,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"plugin-marketplace service now treats missing marketplace client as 'search returns empty list' on listRoutes, but detail/versions/install still route through a client-required path that throws PLUGIN_DISCOVERY_FAILED whenever the marketplace integration is disabled."
ISSUE-00045,ISSUE-00045,existing,channels,P1,confirmed_exact,code_change,phase3d-api-security-family,yes,verified_main_runtime,"Channel persona GET/PUT now enforce registry.describe(kind). Main-runtime rerun with zero configured channels shows GET/PUT /v1/channels/fake-kind/persona both return 404 CHANNEL_NOT_FOUND, matching GET /v1/channels/fake-kind."
ISSUE-00046,ISSUE-00046,existing,channels,P1,confirmed_exact,code_change,phase3d-api-security-family,yes,verified_main_runtime,"The inconsistency between an empty /v1/channels list and independent fake-kind persona storage is gone. After bootstrap sanitation, hub_settings[channels.persona.v1] is empty, /v1/channels returns zero items, and fake-kind persona reads/writes both 404 without persisting state."
ISSUE-00047,ISSUE-00047,existing,channels,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"POST /v1/channels is still absent while the read/persona surfaces remain. createFridayChannelRoutes only registers GET /v1/channels, GET /v1/channels/:kind, GET /v1/channels/:kind/persona, and PUT /v1/channels/:kind/persona; live POST /v1/channels on the isolated runtime returned 404 NOT_FOUND (No route matches POST /v1/channels). Existing low-pollution main-instance evidence also shows GET /v1/channels succeeds, so the gap is specifically channel creation/registration over HTTP, not the whole channel surface."
ISSUE-00048,ISSUE-00048,existing,cli/run,P1,confirmed_but_statement_drifted,code_change,phase3z-p1-other,yes,verified_targeted_tests,"Closed via targeted CLI verification. `friday run` now calls the configured remote `/v1/skills/:skillId/run` surface when both `FRIDAY_HUB_URL` and `FRIDAY_ACCESS_TOKEN` are present, fails fast when only one remote-hub env var is set, and only self-hosts when no remote target is configured. Targeted CLI coverage passed (1 file / 94 tests observed, no type errors)."
ISSUE-00049,ISSUE-00049,existing,cli/phases,P3,confirmed_exact,code_change,phase4-design-density,no,queued,"phases status still ignores the phase-id argument. In cmdPhases, the list and status subcommands share the same branch and both call controller.listPhaseStates() without reading parsed.phaseIdArg. Live outputs for friday phases list, friday phases status phase0, and friday phases status some-arg-that-should-matter were all 7-line identical listings, byte-for-byte."
ISSUE-00050,ISSUE-00050,existing,auth,P2,confirmed_exact,code_change,phase4-design-density,no,queued,"Current auth HTTP routing still exposes only /bootstrap/status, /bootstrap/local-passphrase, /login, /refresh, /logout, and /me; there is still no /v1/auth/tokens GET or POST surface. Fresh main-runtime probes returned 404 NOT_FOUND for both GET /v1/auth/tokens and POST /v1/auth/tokens. State evidence also shows that live login persistence lands in auth_sessions while api_tokens remained a separate table with only one satellite token row, so there is still no HTTP CRUD surface for user token/session inventory."
ISSUE-00051,ISSUE-00051,existing,auth,P2,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"Current code/runtime still exposes a bypass-mode truth gap, but the original statement overclaimed the explicit-passphrase behavior. bootstrap/status still returns allowPasswordlessLocalLogin=true and allowLocalBypassLogin=true together. Live main-runtime probes showed POST /v1/auth/login {local:true} with no passphrase minted a full admin token, POST /v1/auth/login {local:true,localPassphrase:'wrong-passphrase-for-audit'} failed 401 INVALID_CREDENTIALS, and POST /v1/auth/login {local:true,localPassphrase:'FridayFullAudit-2026'} succeeded 200. Source confirms the drift: the explicit localPassphrase branch verifies the passphrase first, while the bypass branch only applies when no explicit credentials are provided. State evidence shows only the two successful login branches created auth_sessions rows, with ids matching the sid values returned in the access tokens."
ISSUE-00052,ISSUE-00052,existing,auth,P3,confirmed_exact,code_change,phase4-design-density,no,queued,Current OAuth initiate path still returns codeVerifier in the response body alongside providerId/scopes. Artifact redacts the transient value but preserves field presence.
ISSUE-00053,ISSUE-00053,existing,providers,P1,confirmed_but_statement_drifted,code_change,phase3c-agent-provider-family,yes,verified_main_runtime,"Verified on current main runtime: GET /v1/model-routing now serves the canonical routing contract with defaultProviderId=33525000-9455-4093-bb23-708db1235b0f, GET /v1/providers/health reports an enabled primary lane, and legacy GET /v1/providers/active plus GET /v1/providers/routing both return 404. The old statement drifted because the routing surface moved rather than disappearing entirely."
ISSUE-00054,ISSUE-00054,existing,agent,P3,confirmed_exact,code_change,phase4-design-density,no,queued,"The POST /v1/agent/runs contract still requires body.task, not prompt/message, and there is still no separate capabilities schema surface advertising that request shape. Current route source throws VALIDATION_ERROR unless body.task is a non-empty string. A live POST with {prompt:""Say hi""} returned 400 task is required and must be a non-empty string. The public health surface only reports high-level runtime capabilities and GET /v1/capabilities still 404s, so the request contract is not surfaced there."
ISSUE-00055,ISSUE-00055,existing,memory,P0,confirmed_but_statement_drifted,code_change,phase3b-memory-ledger-family,yes,verified_main_runtime,"Cross-run recall still exists, but the current mechanism is no longer hidden prompt-only preference injection. Fresh rerun16 evidence on main-runtime OpenAI and isolated Anthropic taught a name, persisted preference_facts plus learned-fact memory entries, recalled the exact name on both natural and explicit follow-up runs with successful memory_search evidence, and then removed the learned fact cleanly from list/search state after delete."
ISSUE-00056,ISSUE-00056,existing,heartbeat,P1,confirmed_exact,code_change,phase3z-p1-other,yes,verified_main_runtime,"Heartbeat is no longer dark by default on the current main runtime. Source now resolves heartbeatEnabled with envNotFalse(FRIDAY_HEARTBEAT_ENABLED), so the heartbeat runner is created unless explicitly disabled. Main-runtime rerun on 2026-04-19 shows GET /v1/heartbeat/status returning lastRunAt=2026-04-19T17:09:25.952Z result=ok intervalMs=900000, POST /v1/heartbeat/trigger returning 200 with status=ok actionRequired=false responseText=HEARTBEAT_OK runId=c9d2f50c-0db5-4ed1-b552-92a08c0164d6, and SQLite friday_heartbeat_state / friday_heartbeat_runs persisting the new run."
ISSUE-00057,ISSUE-00057,existing,memory,P1,confirmed_but_statement_drifted,code_change,phase3b-memory-ledger-family,yes,verified_main_runtime,"The namespace split remains narrower and more specific on current code. Session-memory surfaces are still distinct from learned-fact preference storage, but the exposed recall path is no longer dark: fresh rerun16 evidence shows /v1/uix/learned-facts and /v1/memory/search both expose the taught learned fact, and both main-runtime OpenAI plus isolated Anthropic recall the name through successful memory_search-backed evidence. The remaining gap is that session memory, learned facts, and preference facts are still separate stores rather than one unified user-visible namespace."
ISSUE-00058,ISSUE-00058,existing,learning,P3,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"Current runtime still has no /v1/learning/persona surface and still uses /v1/diagnosis/learning/overview, but the current diagnosis overview is no longer empty, so the original empty-lessons/empty-routeAdjustments portion drifted."
ISSUE-00059,ISSUE-00059,existing,workflows,P1,confirmed_exact,code_change,phase3a-workflow-family,yes,verified_main_runtime,"Verified after remediation: main-runtime workflow normalization cluster rerun created a workflow that persisted the raw top-level graph_json with edges:[{from,to}], yet `/v1/workflow-runs` completed successfully with nodes n1/n2 both completed and no WORKFLOW_INVALID_EDGE failure. The execution/read path now canonicalizes raw edge aliases instead of letting the persisted raw shape break later at run time."
ISSUE-00060,ISSUE-00060,existing,workflows,P2,confirmed_but_statement_drifted,code_change,phase4-design-density,no,queued,"Current source still leaves /v1/workflows/:workflowId as the only /v1/workflows/* GET matcher, so GET /v1/workflows/templates and GET /v1/workflows/approvals are still swallowed by the workflowId route and return WORKFLOW_NOT_FOUND. The drift is that the real approval surface is now explicit at /v1/workflow-approvals in api-runtime, not merely “somewhere else”."
