"status","area","summary","next_action","reason","evidence"
"DONE","gauntlet provider verification","Added a post-login verification step in the gauntlet that calls /v1/providers/:id/validate then /v1/capabilities/doctor on every auto-detected provider so chat phases see verified text routes instead of SKIPping with 'no provider/model route satisfies required capabilities: text'.","None for this item.","Auto-detect persists providers with validation.status=never AND empty runtimeCapabilities; the runtime capability filter only accepts entries with status=verified, so chat phases SKIPed even when DeepSeek's API key was valid.","tests-overnight/lib/util.mjs; tests-overnight/gauntlet.mjs"
"DONE","gauntlet state reset","Reset STATE_DIR at orchestrator start so each run boots from an empty friday.db and auto-detect observes the current env, not stale providers persisted from a previous run.","None for this item.","Stale OpenAI/Anthropic providers from previous runs survived in friday.db and shadowed the DeepSeek-only auto-detect, producing rate-limit storms on the wrong provider.","tests-overnight/gauntlet.mjs"
"DONE","gauntlet bootstrap fix","login() now always attempts /v1/auth/bootstrap/local-passphrase and treats 409 as benign; the old /v1/auth/bootstrap/status gate returned bootstrapRequired=false in dev mode (where allowPasswordless=true), so login then 401'd with NO_PASSWORD_CONFIGURED on a freshly reset state dir.","None for this item.","FAST gauntlet attempt #3 failed at login because the dev-mode bootstrap gate skipped the passphrase setup that the local user needed.","tests-overnight/lib/util.mjs; tests-overnight/phases/phase-X-ui-wizard.mjs"
"DONE","DeepSeek live verification","Ran fresh FAST gauntlet using only DEEPSEEK_API_KEY (env-injected, never persisted); STABILITY GAUNTLET COMPLETE with every chat-dependent phase PASS (B/E/F/H/I/P/V) using real DeepSeek calls.","None for this item.","User required real closed loop with DeepSeek key sk-[REDACTED] (env injection only).","tests-overnight/gauntlet.mjs (FAST run 7); .friday/health/gauntlet-fast.log"
"DONE","Phase M recheck","Phase M PASS in both FAST and FULL gauntlet runs after the skill.manifest.json/shell fixture rewrite.","None for this item.","Fixture was migrated from manifest.json/node to skill.manifest.json/shell after the last completed gauntlet run.","tests-overnight/phases/phase-M-skill-import-rollback.mjs; .friday/health/gauntlet-fast.log; .friday/health/gauntlet-full.log"
"DONE","full overnight gauntlet","Non-FAST gauntlet completed: every phase PASS, missingPhases=(none), monitorsOk processOk=true dbOk=true, evidenceSha256 valid.","None for this item.","FAST mode intentionally skips or compresses some checks and cannot prove overnight stability.","tests-overnight/gauntlet.mjs; .friday/health/gauntlet-full.log; /tmp/friday-overnight-test/STABILITY-FINDINGS-OVERNIGHT.md"
"DONE","Phase W token expiry","Phase W PASS in FULL gauntlet with PHASE_W_WAIT_S=3650 (default in non-FAST); access token returned 401 after wait, refresh issued a new token, /v1/auth/me succeeded with the new token.","None for this item.","FAST mode marks Phase W SKIP because the configured TTL is 3600 seconds.","tests-overnight/phases/phase-W-token-expiry.mjs; .friday/health/gauntlet-full.log"
"DONE","rate-limit full accuracy","Phase R PASS in FULL gauntlet with full reset waits across all rate-limit policies.","None for this item.","FAST_MODE skips 70 second reset waits and is only a route wiring smoke check.","tests-overnight/phases/phase-R-rate-limit.mjs; .friday/health/gauntlet-full.log"
"DONE","DeepSeek coverage","Added focused unit + integration coverage: provider-templates assertion for V4 defaults plus api=openai-completions; bootstrap-integration tests for DEEPSEEK_API_KEY and FRIDAY_DEEPSEEK_API_KEY auto-detect path; absent-env negative case; auto-detect helper updated to scrub deepseek env vars.","None for this item.","DeepSeek support was added during stop condition and had build/gauntlet syntax checks only, not dedicated unit tests.","test/unit/providers/model/friday-provider-templates.test.ts; test/integration/hub/friday-hub-bootstrap-integration.test.ts; test/_helpers/auto-detect-provider-env.ts"
"DONE","build lockfile sync","Refreshed pnpm-lock.yaml to match package.json (7 new deps and a postcss bump that landed in 43bf0eb but were not synced) so fresh worktrees install with frozen-lockfile.","None for this item.","43bf0eb modified package.json without updating the lockfile; pnpm install --frozen-lockfile failed in this worktree.","pnpm-lock.yaml"
