Task ID,Epic ID,Workstream Code,Workstream,Phase,Layer,Task Type,Title,Objective,Scope,Task Detail,Inputs,Outputs,Owner Role,Collaborators,Priority,Estimate (SP),Estimated Duration (Days),Dependencies,Acceptance Criteria,Test Plan,KPI/Success Metric,Primary Risk,Mitigation,Target Release,Status
FRI-PLAT-011,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-1 Foundations (Weeks 1-4),Platform,Product/Architecture Spec,NodeRunner Execution Framework — Product/Architecture Spec,Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,Define product and technical contract for this workstream with edge cases and out-of-scope boundaries.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",Principal Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,3,1.5,none,"Architecture RFC, sequence diagrams, explicit NFRs approved.",Design review checklist passed; architecture doc lint + peer review complete.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,Architecture drift after implementation.,Weekly design-review gate + ADR updates.,2026-Q2,Planned
FRI-PLAT-012,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-1 Foundations (Weeks 1-4),Platform,Domain Model and Data Contract,NodeRunner Execution Framework — Domain Model and Data Contract,Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,"Define canonical entities, schemas, and persistence layout with versioning strategy.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",Backend Engineer (Data),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-011,Schema package merged; migration plan approved; backward compatibility documented.,Schema contract tests and migration dry-run against snapshot DB.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,Breaking schema evolution.,Introduce versioned schema and compatibility tests.,2026-Q2,Planned
FRI-PLAT-013,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-1 Foundations (Weeks 1-4),Platform,API and SDK Contract,NodeRunner Execution Framework — API and SDK Contract,Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,Define external/internal APIs and SDK methods including error model and idempotency keys.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",Backend Engineer (API),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-012,OpenAPI/TS types generated; standardized error codes and retry hints present.,Contract tests and SDK compile checks pass in CI.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,Inconsistent API behavior across modules.,Contract-first generation + shared validator middleware.,2026-Q2,Planned
FRI-PLAT-014,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-2 Runtime Hardening (Weeks 5-8),Platform,Core Runtime Implementation,NodeRunner Execution Framework — Core Runtime Implementation,Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,Build core runtime logic and integration with existing Friday modules.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",Backend Engineer (Runtime),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,8,4.0,FRI-PLAT-013; EPIC-RUL core hooks complete,Core path implemented with deterministic state transitions and rollback safety.,Unit tests for state machine transitions and failure paths.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,Runtime regressions under concurrency.,Feature flags + dark launch before default enable.,2026-Q2,Planned
FRI-PLAT-015,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-2 Runtime Hardening (Weeks 5-8),Platform,UI and Operator Controls,NodeRunner Execution Framework — UI and Operator Controls,Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,Add operator-facing controls and views with beginner-friendly defaults and safe guardrails.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",Frontend Engineer (UX),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,5,2.5,FRI-PLAT-014,UI flow complete; unsupported actions hidden; inline help + defaults provided.,Component tests + accessibility smoke + UX script validation.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,UI exposes unsafe operations.,Capability gating and policy-based button states.,2026-Q2,Planned
FRI-PLAT-016,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-3 Governance (Weeks 9-12),Platform,Security and Permission Model,NodeRunner Execution Framework — Security and Permission Model,Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,"Implement permission boundaries, secret handling, and policy enforcement for this stream.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",Security Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-015,Least-privilege model enforced; denied operations are explicit and audited.,RBAC matrix tests + penetration checklist + negative tests.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,Privilege escalation or data leakage.,Deny-by-default policy and scoped credentials.,2026-Q2,Planned
FRI-PLAT-017,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-3 Governance (Weeks 9-12),Platform,"Migration, Backfill, and Compatibility","NodeRunner Execution Framework — Migration, Backfill, and Compatibility",Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,"Deliver migration scripts, data backfill logic, and compatibility window strategy.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",Backend Engineer (Platform),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,5,2.5,FRI-PLAT-016,Zero-loss migration dry run; rollback path documented and tested.,Migration chain tests + rollback simulation in staging.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,Data corruption during upgrade.,Transactional migration + checksums + backup gate.,2026-Q2,Planned
FRI-PLAT-018,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-4 Validation (Weeks 13-16),Platform,Automated Test Matrix,NodeRunner Execution Framework — Automated Test Matrix,Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,Build comprehensive unit/integration/e2e suites for critical paths and edge cases.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",QA Automation Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,8,4.0,FRI-PLAT-017; EPIC-RUL core hooks complete,Coverage target met for critical modules; flaky test budget under threshold.,CI matrix green across macOS/Linux + sqlite snapshots.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,False confidence due to shallow tests.,Property tests and adversarial scenario suites.,2026-Q2,Planned
FRI-PLAT-019,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-5 Beta Rollout (Weeks 17-20),Platform,Beta Rollout and Telemetry,NodeRunner Execution Framework — Beta Rollout and Telemetry,Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,"Ship behind feature flag, collect telemetry, and run controlled beta with acceptance gates.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",DevOps/SRE Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,5,2.5,FRI-PLAT-018,Beta metrics dashboard active; SLO and error budget monitored daily.,Synthetic probes + canary tests + weekly beta triage log.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,Silent production failures.,Canary rollout + automatic rollback thresholds.,2026-Q2,Planned
FRI-PLAT-020,EPIC-RUN,RUN,NodeRunner Execution Framework,Phase-6 Launch Readiness (Weeks 21-24),Platform,Launch Runbook and Handover,NodeRunner Execution Framework — Launch Runbook and Handover,Standardize every node execution into a fixed 6-step runner template.,load/pre-validate/pre-rules/execute/post-validate/post-rules,"Prepare production launch checklist, support playbooks, and ownership handover.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","node_runner template, adapters for tools/agents, execution context contract",Release Manager,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,3,1.5,FRI-PLAT-019,Runbook published; on-call training complete; launch gates automated.,Game-day simulation + incident drill + go/no-go checklist pass.,Node execution success rate > 99%; deterministic state transition mismatch = 0; timeout handling accuracy 100%.,Operational unpreparedness at launch.,Runbook automation and escalation tree validation.,2026-Q2,Planned
FRI-PLAT-021,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-1 Foundations (Weeks 1-4),Platform,Product/Architecture Spec,Acceptance Testing Layer — Product/Architecture Spec,Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts",Define product and technical contract for this workstream with edge cases and out-of-scope boundaries.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",Principal Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,3,1.5,none,"Architecture RFC, sequence diagrams, explicit NFRs approved.",Design review checklist passed; architecture doc lint + peer review complete.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,Architecture drift after implementation.,Weekly design-review gate + ADR updates.,2026-Q2,Planned
FRI-PLAT-022,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-1 Foundations (Weeks 1-4),Platform,Domain Model and Data Contract,Acceptance Testing Layer — Domain Model and Data Contract,Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts","Define canonical entities, schemas, and persistence layout with versioning strategy.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",Backend Engineer (Data),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-021,Schema package merged; migration plan approved; backward compatibility documented.,Schema contract tests and migration dry-run against snapshot DB.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,Breaking schema evolution.,Introduce versioned schema and compatibility tests.,2026-Q2,Planned
FRI-PLAT-023,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-1 Foundations (Weeks 1-4),Platform,API and SDK Contract,Acceptance Testing Layer — API and SDK Contract,Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts",Define external/internal APIs and SDK methods including error model and idempotency keys.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",Backend Engineer (API),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-022,OpenAPI/TS types generated; standardized error codes and retry hints present.,Contract tests and SDK compile checks pass in CI.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,Inconsistent API behavior across modules.,Contract-first generation + shared validator middleware.,2026-Q2,Planned
FRI-PLAT-024,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-2 Runtime Hardening (Weeks 5-8),Platform,Core Runtime Implementation,Acceptance Testing Layer — Core Runtime Implementation,Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts",Build core runtime logic and integration with existing Friday modules.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",Backend Engineer (Runtime),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,8,4.0,FRI-PLAT-023; EPIC-RUL core hooks complete,Core path implemented with deterministic state transitions and rollback safety.,Unit tests for state machine transitions and failure paths.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,Runtime regressions under concurrency.,Feature flags + dark launch before default enable.,2026-Q2,Planned
FRI-PLAT-025,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-2 Runtime Hardening (Weeks 5-8),Platform,UI and Operator Controls,Acceptance Testing Layer — UI and Operator Controls,Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts",Add operator-facing controls and views with beginner-friendly defaults and safe guardrails.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",Frontend Engineer (UX),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,5,2.5,FRI-PLAT-024,UI flow complete; unsupported actions hidden; inline help + defaults provided.,Component tests + accessibility smoke + UX script validation.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,UI exposes unsafe operations.,Capability gating and policy-based button states.,2026-Q2,Planned
FRI-PLAT-026,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-3 Governance (Weeks 9-12),Platform,Security and Permission Model,Acceptance Testing Layer — Security and Permission Model,Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts","Implement permission boundaries, secret handling, and policy enforcement for this stream.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",Security Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-025,Least-privilege model enforced; denied operations are explicit and audited.,RBAC matrix tests + penetration checklist + negative tests.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,Privilege escalation or data leakage.,Deny-by-default policy and scoped credentials.,2026-Q2,Planned
FRI-PLAT-027,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-3 Governance (Weeks 9-12),Platform,"Migration, Backfill, and Compatibility","Acceptance Testing Layer — Migration, Backfill, and Compatibility",Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts","Deliver migration scripts, data backfill logic, and compatibility window strategy.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",Backend Engineer (Platform),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,5,2.5,FRI-PLAT-026,Zero-loss migration dry run; rollback path documented and tested.,Migration chain tests + rollback simulation in staging.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,Data corruption during upgrade.,Transactional migration + checksums + backup gate.,2026-Q2,Planned
FRI-PLAT-028,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-4 Validation (Weeks 13-16),Platform,Automated Test Matrix,Acceptance Testing Layer — Automated Test Matrix,Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts",Build comprehensive unit/integration/e2e suites for critical paths and edge cases.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",QA Automation Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,8,4.0,FRI-PLAT-027; EPIC-RUL core hooks complete,Coverage target met for critical modules; flaky test budget under threshold.,CI matrix green across macOS/Linux + sqlite snapshots.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,False confidence due to shallow tests.,Property tests and adversarial scenario suites.,2026-Q2,Planned
FRI-PLAT-029,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-5 Beta Rollout (Weeks 17-20),Platform,Beta Rollout and Telemetry,Acceptance Testing Layer — Beta Rollout and Telemetry,Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts","Ship behind feature flag, collect telemetry, and run controlled beta with acceptance gates.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",DevOps/SRE Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,5,2.5,FRI-PLAT-028,Beta metrics dashboard active; SLO and error budget monitored daily.,Synthetic probes + canary tests + weekly beta triage log.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,Silent production failures.,Canary rollout + automatic rollback thresholds.,2026-Q2,Planned
FRI-PLAT-030,EPIC-ACC,ACC,Acceptance Testing Layer,Phase-6 Launch Readiness (Weeks 21-24),Platform,Launch Runbook and Handover,Acceptance Testing Layer — Launch Runbook and Handover,Add mandatory schema/quant/quality acceptance gates before completion.,"acceptance test registry, rule-linked checks, per-artifact verdicts","Prepare production launch checklist, support playbooks, and ownership handover.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","acceptance engine, built-in checks, failure reports",Release Manager,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P1,3,1.5,FRI-PLAT-029,Runbook published; on-call training complete; launch gates automated.,Game-day simulation + incident drill + go/no-go checklist pass.,Acceptance pass/fail determinism > 99.5%; escaped bad artifacts < 1%; mean validation latency < 200ms.,Operational unpreparedness at launch.,Runbook automation and escalation tree validation.,2026-Q2,Planned
FRI-PLAT-031,EPIC-RET,RET,Failure Taxonomy and Retry Engine,Phase-1 Foundations (Weeks 1-4),Platform,Product/Architecture Spec,Failure Taxonomy and Retry Engine — Product/Architecture Spec,Classify failures and apply cost-aware retry trees automatically.,"failure classifier, retry policy DSL, retry cost accounting",Define product and technical contract for this workstream with edge cases and out-of-scope boundaries.,"Current Friday codebase, existing API/runtime contracts, platform vision constraints.","failure taxonomy service, retry orchestrator, retry traces",Principal Engineer,Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,3,1.5,none,"Architecture RFC, sequence diagrams, explicit NFRs approved.",Design review checklist passed; architecture doc lint + peer review complete.,Auto-recovery rate > 60% for retryable failures; retry cost overhead < 25%; manual escalations reduced by 40%.,Architecture drift after implementation.,Weekly design-review gate + ADR updates.,2026-Q2,Planned
FRI-PLAT-032,EPIC-RET,RET,Failure Taxonomy and Retry Engine,Phase-1 Foundations (Weeks 1-4),Platform,Domain Model and Data Contract,Failure Taxonomy and Retry Engine — Domain Model and Data Contract,Classify failures and apply cost-aware retry trees automatically.,"failure classifier, retry policy DSL, retry cost accounting","Define canonical entities, schemas, and persistence layout with versioning strategy.","Current Friday codebase, existing API/runtime contracts, platform vision constraints.","failure taxonomy service, retry orchestrator, retry traces",Backend Engineer (Data),Product Manager; QA Engineer; Security Engineer; DevOps Engineer,P0,5,2.5,FRI-PLAT-031,Schema package merged; migration plan approved; backward compatibility documented.,Schema contract tests and migration dry-run against snapshot DB.,Auto-recovery rate > 60% for retryable failures; retry cost overhead < 25%; manual escalations reduced by 40%.,Breaking schema evolution.,Introduce versioned schema and compatibility tests.,2026-Q2,Planned
